vin,make,model,year,millege,city_mpg,hwy_mpg,price
3VW547AU8JM263398,volkswagen,golf-gti,2018,37639,25,33,28499
3VW447AU8HM075020,volkswagen,golf-gti,2017,10883,24,32,24491
3VW547AU6HM071343,volkswagen,golf-gti,2017,32124,24,34,27310
3VW547AU5HM005107,volkswagen,golf-gti,2017,78587,24,34,21995
WVWN87CD1NW182060,volkswagen,golf-gti,2022,2260,24,34,36500
3VW4T7AU3GM020783,volkswagen,golf-gti,2016,94306,25,33,17994
3VW447AU8HM002083,volkswagen,golf-gti,2017,50665,24,32,26247
3VW4T7AU0FM071009,volkswagen,golf-gti,2015,86847,25,33,18997
WVWH87CD6NW178535,volkswagen,golf-gti,2022,1553,24,34,31999
3VW4T7AUXGM040495,volkswagen,golf-gti,2016,137714,25,33,15481
3VW6T7AU5MM004718,volkswagen,golf-gti,2021,4303,24,32,32998
3VW4T7AU1HM034411,volkswagen,golf-gti,2017,42838,24,32,23817
3VWYT7AU4FM051833,volkswagen,golf-gti,2015,36240,25,34,22259
3VW447AU9HM051499,volkswagen,golf-gti,2017,66487,24,32,24752
3VW447AUXHM009987,volkswagen,golf-gti,2017,44091,24,32,25999
3VW547AU5HM049155,volkswagen,golf-gti,2017,66296,24,34,23366
3VW4T7AU1HM055887,volkswagen,golf-gti,2017,28775,24,32,24993
3VW447AUXHM067159,volkswagen,golf-gti,2017,38173,24,32,25685
3VW447AU0JM294320,volkswagen,golf-gti,2018,7628,24,32,32997
3VW6T7AU8LM008163,volkswagen,golf-gti,2020,9173,24,32,31538
3VW6T7AU3MM005303,volkswagen,golf-gti,2021,13506,24,32,34991
3VW4T7AU6GM015058,volkswagen,golf-gti,2016,52813,25,33,23987
WVW587CD1NW137524,volkswagen,golf-gti,2022,-1,25,34,50000
3VW4T7AU3HM010613,volkswagen,golf-gti,2017,58871,24,32,25999
3VW4T7AU7HM033778,volkswagen,golf-gti,2017,41311,24,32,25998
3VW447AU2JM283786,volkswagen,golf-gti,2018,28941,24,32,31497
3VW4T7AU9FM026750,volkswagen,golf-gti,2015,92443,25,33,18840
3VW547AU7FM082252,volkswagen,golf-gti,2015,56838,25,34,22980
