vin,make,model,year,millege,city_mpg,hwy_mpg,price
JF1VA1A64J9812349,subaru,wrx,2018,69976,21,27,24986
JF1VA1A6XM9815874,subaru,wrx,2021,4833,20,27,33691
JF1VA1J63L9809879,subaru,wrx,2020,19591,21,27,34998
JF1VA1J64G9834103,subaru,wrx,2016,49112,20,27,26500
JF1VA1B61L9814495,subaru,wrx,2020,26831,21,27,31500
JF1VA1H61K9811392,subaru,wrx,2019,36199,21,27,29995
JF1VA2M67J9807728,subaru,wrx,2018,30070,17,22,38975
JF1VA2V63G9818541,subaru,wrx,2016,38345,17,23,35491
JF1VA1C66M9823368,subaru,wrx,2021,15258,20,27,36898
JF1VA1C61M9809393,subaru,wrx,2021,2313,20,27,37425
JF1VA2Z68G9821140,subaru,wrx,2016,111935,17,23,24999
JF1VA1J68G8830366,subaru,wrx,2016,57331,18,24,26744
JF1VBAF67N9002855,subaru,wrx,2022,280,19,26,41997
JF1VA2Y60L9824545,subaru,wrx,2020,14444,16,22,43600
JF1VA1J69M9820354,subaru,wrx,2021,11087,20,27,38998
JF1VA1C60K9811892,subaru,wrx,2019,20735,21,27,34997
JF1VA1H67K9829461,subaru,wrx,2019,42927,21,27,29962
JF1VA1C6XL9826269,subaru,wrx,2020,27315,21,27,32995
JF1VA1A67M9800023,subaru,wrx,2021,16198,20,27,33521
JF1VA1B62H9818756,subaru,wrx,2017,54195,20,27,28998
JF1VA1B61J9815093,subaru,wrx,2018,44525,21,27,27400
JF1VA1H63K9825133,subaru,wrx,2019,64192,21,27,31995
