vin,make,model,year,millege,city_mpg,hwy_mpg,price
JM1NDAD72G0116317,mazda,mx-5-miata,2016,19078,27,34,28260
JM1NDAC7XM0456652,mazda,mx-5-miata,2021,1847,26,34,35998
JM1NC25F780146428,mazda,mx-5-miata,2008,60012,21,28,15994
JM1NDAB71M0455276,mazda,mx-5-miata,2021,5695,26,35,31895
JM1NDAD73G0114818,mazda,mx-5-miata,2016,51316,27,34,24990
JM1NC2MFXE0234421,mazda,mx-5-miata,2014,38838,21,28,23345
JM1NC2JFXF0238412,mazda,mx-5-miata,2015,78593,22,28,21598
JM1NC25F960107126,mazda,mx-5-miata,2006,61535,21,28,14950
JM1NDAC77M0460903,mazda,mx-5-miata,2021,10523,26,34,35000
JM1NC2PF3F0241532,mazda,mx-5-miata,2015,11782,21,28,25500
JM1NC2LF3F0237759,mazda,mx-5-miata,2015,37517,21,28,23500
JM1NDAD75J0201322,mazda,mx-5-miata,2018,27046,26,33,26845
JM1NDAD78J0201119,mazda,mx-5-miata,2018,15074,26,33,28500
JM1NDAD76J0200888,mazda,mx-5-miata,2018,32021,26,33,28999
JM1NDAD78M0457801,mazda,mx-5-miata,2021,3021,26,35,34990
