vin,make,model,year,millege,city_mpg,hwy_mpg,price
1FA6P8CF2L5178395,ford,mustang,2020,13283,15,24,38500
1FA6P8CF1F5424275,ford,mustang,2015,48958,15,25,29999
1FATP8FFXK5187603,ford,mustang,2019,17860,-1,-1,41800
1FATP8FF4K5124738,ford,mustang,2019,19402,-1,-1,41000
1FA6P8TH1K5199707,ford,mustang,2019,24404,21,31,20900
1FA6P8CF2K5122505,ford,mustang,2019,33532,15,24,35987
1FA6P8THXK5135830,ford,mustang,2019,57888,21,31,22900
1FA6P8CF5M5147157,ford,mustang,2021,3415,15,24,38998
1FA6P8TH7G5302166,ford,mustang,2016,38987,22,31,23898
1FA6P8CF6H5280810,ford,mustang,2017,6027,15,25,35500
1FATP8FFXL5139519,ford,mustang,2020,32211,-1,-1,42217
1FA6P8CF1J5107430,ford,mustang,2018,8018,15,25,39500
1FATP8UH3K5191089,ford,mustang,2019,25915,20,28,31000
1ZVBP8AM2E5305835,ford,mustang,2014,67875,19,29,16495
1FA6P8AMXG5259880,ford,mustang,2016,22450,17,28,22615
1FA6P8TD2M5137734,ford,mustang,2021,3385,21,29,35991
1ZVBP8AM9E5299449,ford,mustang,2014,74027,19,29,18727
1FA6P8CF7L5175475,ford,mustang,2020,16068,15,24,36000
1FA6P8CF4M5154729,ford,mustang,2021,4916,15,24,47883
1FA6P8THXL5149809,ford,mustang,2020,21215,21,30,25966
1FA6P8TD3M5147558,ford,mustang,2021,4460,21,29,33167
1FA6P8CFXK5119481,ford,mustang,2019,33747,15,24,37990
1FA6P8TH2M5146792,ford,mustang,2021,1028,21,29,30000
1FATP8FF8K5185090,ford,mustang,2019,11209,-1,-1,43884
1FA6P8TH2H5277307,ford,mustang,2017,79060,21,30,22109
1FA6P8TH0F5335413,ford,mustang,2015,94286,22,31,19450
1FA6P8TH7L5120834,ford,mustang,2020,37109,21,30,29995
1FA6P8CF9L5169581,ford,mustang,2020,31260,15,24,35995
1FA6P8CF0F5367678,ford,mustang,2015,32293,15,25,32000
1FA6P8CF7F5316016,ford,mustang,2015,45787,15,25,32895
1FA6P8CFXL5178287,ford,mustang,2020,9031,15,24,41494
1FA6P8TH9L5171025,ford,mustang,2020,27947,21,30,27980
1FA6P8CF1H5258049,ford,mustang,2017,12665,15,25,36898
1FA6P8CF3H5249515,ford,mustang,2017,38142,15,25,33500
1FA6P8TH3M5123134,ford,mustang,2021,6958,21,29,35997
1FA6P8AM7H5280719,ford,mustang,2017,44048,18,27,23994
1FA6P8CF4H5227345,ford,mustang,2017,69353,15,25,29950
1ZVBP8CF1D5215783,ford,mustang,2013,70022,15,26,23000
1FATP8FFXL5118587,ford,mustang,2020,59509,-1,-1,35998
1FA6P8TH7K5169255,ford,mustang,2019,14291,21,31,30762
1ZVBP8EM1E5220401,ford,mustang,2014,105289,19,29,14988
1FATP8UH2L5134397,ford,mustang,2020,61061,20,28,28742
1FA6P8CF8M5149968,ford,mustang,2021,1726,15,24,46490
1FA6P8AM0G5288871,ford,mustang,2016,52758,17,28,21000
1FA6P8R07M5554173,ford,mustang,2021,959,14,22,59901
1ZVBP8AM5C5244333,ford,mustang,2012,64083,19,29,18998
1FA6P8CF6G5326859,ford,mustang,2016,61422,15,25,30500
1FA6P8CF0N5111717,ford,mustang,2022,800,15,24,50698
1FATP8UH8K5163742,ford,mustang,2019,61706,20,28,28689
1ZVHT82H175313368,ford,mustang,2007,4174,15,23,31500
1FALP45TXSF215426,ford,mustang,1995,30893,15,23,19988
1ZVFT80N755174568,ford,mustang,2005,162514,17,26,7500
1FA6P8CF4H5290381,ford,mustang,2017,43313,15,25,33000
1FA6P8CF4H5264251,ford,mustang,2017,38180,15,25,35980
1FA6P8CFXG5229129,ford,mustang,2016,44520,15,25,33688
1FA6P8CF1L5118480,ford,mustang,2020,50528,15,24,37490
1FA6P8TH4K5122846,ford,mustang,2019,8370,21,31,34995
1FA6P8CF1H5271075,ford,mustang,2017,68283,15,25,30000
1FA6P8CF1N5100189,ford,mustang,2022,660,15,24,48500
1FA6P8CF7L5149992,ford,mustang,2020,2662,15,24,39917
1FA6P8CF3F5308351,ford,mustang,2015,39678,15,25,37999
1ZVBP8EM9E5222221,ford,mustang,2014,102536,19,29,16988
1FATP8UH0L5112835,ford,mustang,2020,54851,20,28,30000
1FAFP40442F220831,ford,mustang,2002,73976,17,27,7990
1FATP8UH0L5113600,ford,mustang,2020,51357,20,28,33969
1FA6P8CF9H5238292,ford,mustang,2017,47680,15,25,31895
1FATP8UH1L5101343,ford,mustang,2020,25013,20,28,33965
1FA6P8TH2G5227408,ford,mustang,2016,56381,22,31,25998
1FATP8UH1G5307459,ford,mustang,2016,108903,20,29,21995
1ZVBP8CF0E5308148,ford,mustang,2014,22404,15,26,29995
1FA6P8TH3F5342940,ford,mustang,2015,34438,22,31,26025
1FA6P8TH4L5169294,ford,mustang,2020,9999,21,30,33988
1FA6P8CF7M5119327,ford,mustang,2021,15888,15,24,43991
1FA6P8TH5K5116991,ford,mustang,2019,42254,21,31,30998
1FA6P8TH1K5120360,ford,mustang,2019,31829,21,31,29998
