vin,make,model,year,millege,city_mpg,hwy_mpg,price
1FADP3K20FL372299,ford,focus,2015,79564,26,36,9995
1FADP3K26HL273926,ford,focus,2017,23315,26,36,16923
1FAHP36N49W267516,ford,focus,2009,181163,24,35,3900
1FAHP3FN4AW103784,ford,focus,2010,75068,24,35,5500
1FADP3M25JL234442,ford,focus,2018,34103,24,34,17494
1FADP3E27EL204458,ford,focus,2014,89890,26,36,9999
1FADP3K20FL283557,ford,focus,2015,51001,26,36,13300
1FADP3F23GL303361,ford,focus,2016,43935,26,36,12995
1FADP3N2XGL330428,ford,focus,2016,47468,27,40,17500
1FAHP3F29CL321617,ford,focus,2012,78825,26,36,9456
1FADP3F23EL260377,ford,focus,2014,93894,26,36,10850
1FADP3E22GL380708,ford,focus,2016,81559,26,36,11915
1FADP3F21EL367394,ford,focus,2014,60021,26,36,12500
1FADP3F2XEL358998,ford,focus,2014,51369,26,36,12495
1FAHP3M21CL363590,ford,focus,2012,83479,27,37,11000
1FADP3K27FL312830,ford,focus,2015,86000,26,36,10999
1FADP3F23FL207633,ford,focus,2015,99790,26,36,10995
1FADP3K2XFL372889,ford,focus,2015,114786,26,36,7999
1FADP3F2XEL450824,ford,focus,2014,89040,26,36,11000
1FADP3K29JL220966,ford,focus,2018,80446,24,34,15999
1FADP3F29EL252221,ford,focus,2014,69844,26,36,10996
1FADP3K29GL288130,ford,focus,2016,78373,26,36,12977
1FADP3K21GL393793,ford,focus,2016,89482,26,36,12875
1FADP3R43EL339383,ford,focus,2014,59323,-1,-1,11999
1FADP3N24EL144588,ford,focus,2014,37408,26,37,15800
1FADP3F26GL303290,ford,focus,2016,59040,26,36,17998
1FADP3FE7JL248897,ford,focus,2018,41658,30,40,19998
1FADP3E22GL288045,ford,focus,2016,79684,26,36,11750
1FADP3F25GL358331,ford,focus,2016,48034,26,36,17998
1FADP3F2XJL254876,ford,focus,2018,10541,30,40,20490
1FADP3F21EL292258,ford,focus,2014,108011,26,36,9500
1FAHP3E27CL103791,ford,focus,2012,86763,26,36,9995
1FADP3K22JL295590,ford,focus,2018,69261,24,34,16950
1FADP3F25EL227588,ford,focus,2014,58376,26,36,14950
1FADP3FE3JL298826,ford,focus,2018,34901,30,40,19950
1FADP3FE5JL289352,ford,focus,2018,47151,30,40,17950
1FADP3N22GL388436,ford,focus,2016,61081,27,40,17000
1FADP3K24JL295591,ford,focus,2018,59038,24,34,17490
1FADP3F26JL308870,ford,focus,2018,65157,30,40,15988
1FADP3F21JL254099,ford,focus,2018,55649,30,40,18998
1FAHP3N24CL453265,ford,focus,2012,63806,27,37,12977
1FADP3F23EL172106,ford,focus,2014,69437,26,36,12495
1FAHP3J27CL447787,ford,focus,2012,203708,27,37,3500
1FADP3F23EL446503,ford,focus,2014,57922,26,36,13950
1FAHP34N28W171630,ford,focus,2008,122391,24,35,4950
